species,fish_id,mass_g,po2_torr,mo2_ms_per_hr,expt_period
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,27.0897,1.7617021276595743,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,25.2088,1.9148936170212765,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,23.4397,1.7617021276595743,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,21.6788,1.6085106382978722,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,20.106,1.5319148936170213,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,18.4783,1.6851063829787236,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,16.9878,1.378723404255319,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,16.0386,1.5319148936170213,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,148.3501,3.1636363636363636,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,143.4605,3.5454545454545454,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,137.7924,3.9272727272727272,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,131.7871,4.690909090909091,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,125.0219,4.3090909090909095,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,119.0562,3.7636363636363637,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,114.4912,3.381818181818182,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,110.6935,2.3454545454545457,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,107.3329,2.290909090909091,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,104.2151,1.9090909090909092,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,101.0376,2.7272727272727275,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,97.0884,2.8363636363636364,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,93.6849,2.1272727272727274,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,89.9086,2.672727272727273,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,86.5222,2.672727272727273,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,83.1849,1.9636363636363636,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,79.566,3.0545454545454547,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,75.7859,2.9454545454545458,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,71.403,3.4909090909090916,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,66.4556,3.272727272727273,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,61.7341,3.7636363636363637,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,57.6272,2.563636363636364,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,53.021,3.3272727272727276,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,49.1174,2.3454545454545457,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,45.1643,2.4545454545454546,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,41.6568,2.8909090909090915,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,37.5907,2.3454545454545457,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,34.3032,2.2363636363636368,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,31.4318,2.290909090909091,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,28.6028,1.309090909090909,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,26.1838,1.690909090909091,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,24.055,1.690909090909091,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,21.5433,1.4181818181818182,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,19.8485,1.2545454545454544,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,17.8746,1.309090909090909,pcrit
Blepsias_cirrhosus,intop-bottom_tank7_closed-orange-floats,6.6,16.2141,0.8727272727272729,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,152.174,1.9518072289156625,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,148.5549,2.081927710843373,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,144.9212,1.9518072289156625,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,141.2871,2.1686746987951806,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,137.2212,2.472289156626506,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,132.9879,2.125301204819277,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,129.3322,2.081927710843373,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,125.1403,2.5590361445783127,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,120.7993,2.081927710843373,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,117.0745,2.342168674698795,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,112.7188,2.6457831325301204,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,107.318,3.0361445783132526,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,102.3212,2.4289156626506023,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,98.3219,2.081927710843373,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,94.5492,2.0385542168674697,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,90.8597,1.995180722891566,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,87.3573,1.8216867469879516,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,83.8564,1.995180722891566,pcrit
