time.min,mo2,time.bin,probe,spps,date.day,date.month,date.year
24.986675,2.1,25,NFB0009,olma,18,april,2017
25.41989,2.04,30,NFB0009,olma,18,april,2017
25.85316333,1.98,30,NFB0009,olma,18,april,2017
26.28009333,2.16,30,NFB0009,olma,18,april,2017
26.72794167,1.92,30,NFB0009,olma,18,april,2017
27.15281167,2.16,30,NFB0009,olma,18,april,2017
27.58817167,1.92,30,NFB0009,olma,18,april,2017
28.019395,1.98,30,NFB0009,olma,18,april,2017
28.45264833,2.1,30,NFB0009,olma,18,april,2017
28.87747833,1.86,30,NFB0009,olma,18,april,2017
29.33168333,1.8,30,NFB0009,olma,18,april,2017
29.74615167,1.86,30,NFB0009,olma,18,april,2017
30.18574167,1.62,35,NFB0009,olma,18,april,2017
30.610575,2.1,35,NFB0009,olma,18,april,2017
31.056545,1.98,35,NFB0009,olma,18,april,2017
31.49612667,2.04,35,NFB0009,olma,18,april,2017
31.91899,1.86,35,NFB0009,olma,18,april,2017
32.34804,1.86,35,NFB0009,olma,18,april,2017
32.78557,1.68,35,NFB0009,olma,18,april,2017
33.220995,1.92,35,NFB0009,olma,18,april,2017
33.64391333,1.68,35,NFB0009,olma,18,april,2017
34.08338167,1.8,35,NFB0009,olma,18,april,2017
34.50623333,1.74,35,NFB0009,olma,18,april,2017
34.93318667,1.86,35,NFB0009,olma,18,april,2017
35.36240833,1.92,40,NFB0009,olma,18,april,2017
35.82505333,1.86,40,NFB0009,olma,18,april,2017
36.22496167,1.86,40,NFB0009,olma,18,april,2017
36.66644,1.86,40,NFB0009,olma,18,april,2017
37.11436333,1.92,40,NFB0009,olma,18,april,2017
37.54141667,1.62,40,NFB0009,olma,18,april,2017
37.97059167,1.8,40,NFB0009,olma,18,april,2017
38.39762167,1.8,40,NFB0009,olma,18,april,2017
38.87493667,1.86,40,NFB0009,olma,18,april,2017
39.27050667,1.68,40,NFB0009,olma,18,april,2017
39.70578,3,40,NFB0009,olma,18,april,2017
40.13283333,1.98,45,NFB0009,olma,18,april,2017
40.56815333,1.8,45,NFB0009,olma,18,april,2017
41.00774667,1.92,45,NFB0009,olma,18,april,2017
41.451495,1.74,45,NFB0009,olma,18,april,2017
41.87433,1.92,45,NFB0009,olma,18,april,2017
42.30967167,1.86,45,NFB0009,olma,18,april,2017
42.73672833,1.86,45,NFB0009,olma,18,april,2017
43.176345,2.22,45,NFB0009,olma,18,april,2017
43.60751833,1.92,45,NFB0009,olma,18,april,2017
44.04709,1.86,45,NFB0009,olma,18,april,2017
44.47199833,1.92,45,NFB0009,olma,18,april,2017
44.91159167,1.86,45,NFB0009,olma,18,april,2017
45.31567833,1.8,50,NFB0009,olma,18,april,2017
45.757295,1.86,50,NFB0009,olma,18,april,2017
46.18844167,1.92,50,NFB0009,olma,18,april,2017
46.62372,1.92,50,NFB0009,olma,18,april,2017
47.05280833,2.4,50,NFB0009,olma,18,april,2017
47.492355,1.86,50,NFB0009,olma,18,april,2017
47.94869167,2.1,50,NFB0009,olma,18,april,2017
48.38401167,1.86,50,NFB0009,olma,18,april,2017
48.80061333,1.98,50,NFB0009,olma,18,april,2017
49.24434333,1.8,50,NFB0009,olma,18,april,2017
49.68188,1.74,50,NFB0009,olma,18,april,2017
50.09219333,1.74,55,NFB0009,olma,18,april,2017
50.53792,1.8,55,NFB0009,olma,18,april,2017
50.96484,2.04,55,NFB0009,olma,18,april,2017
51.41270333,1.8,55,NFB0009,olma,18,april,2017
51.83956167,1.8,55,NFB0009,olma,18,april,2017
52.26649833,1.8,55,NFB0009,olma,18,april,2017
52.72074667,1.74,55,NFB0009,olma,18,april,2017
53.128745,1.62,55,NFB0009,olma,18,april,2017
53.57460167,1.92,55,NFB0009,olma,18,april,2017
54.01622833,1.8,55,NFB0009,olma,18,april,2017
54.447435,1.98,55,NFB0009,olma,18,april,2017
54.87648333,1.8,55,NFB0009,olma,18,april,2017
55.30344667,1.8,60,NFB0009,olma,18,april,2017
55.759765,1.98,60,NFB0009,olma,18,april,2017
56.172095,1.92,60,NFB0009,olma,18,april,2017
56.59914167,1.8,60,NFB0009,olma,18,april,2017
57.05325,1.8,60,NFB0009,olma,18,april,2017
57.47390667,1.8,60,NFB0009,olma,18,april,2017
57.909355,1.56,60,NFB0009,olma,18,april,2017
58.34477,1.62,60,NFB0009,olma,18,april,2017
58.7613,1.86,60,NFB0009,olma,18,april,2017
59.18408667,1.92,60,NFB0009,olma,18,april,2017
59.63205667,1.86,60,NFB0009,olma,18,april,2017
60.08212833,1.8,65,NFB0009,olma,18,april,2017
60.50283333,1.8,65,NFB0009,olma,18,april,2017
60.94017,1.74,65,NFB0009,olma,18,april,2017
61.37139,1.68,65,NFB0009,olma,18,april,2017
61.811045,1.98,65,NFB0009,olma,18,april,2017
62.24017167,1.86,65,NFB0009,olma,18,april,2017
62.677705,1.5,65,NFB0009,olma,18,april,2017
63.11935333,1.86,65,NFB0009,olma,18,april,2017
63.55271833,3.48,65,NFB0009,olma,18,april,2017
63.983925,1.68,65,NFB0009,olma,18,april,2017
64.41512833,1.8,65,NFB0009,olma,18,april,2017
64.84419667,1.92,65,NFB0009,olma,18,april,2017
65.27736667,1.8,70,NFB0009,olma,18,april,2017
65.72543,1.8,70,NFB0009,olma,18,april,2017
66.12733667,1.74,70,NFB0009,olma,18,april,2017
66.56695833,1.74,70,NFB0009,olma,18,april,2017
